eps_num,iter,critic_loss,actor_loss,csc_samples_neg,csc_samples_pos,train_acc,snap_iter,beta_score,main_critic_loss,main_actor_loss,main_beta_score,main_prox_critic,main_prox_actor,main_avg_prox_coef,tidx,avg_rewards,one_raw_reward
106,10025,0.45579243218526244,-748.4520874023438,177,180,0.8431372549019608,10,1,0.0022930318012367936,-943.2151196289062,1,0.2432103444635868,1.0950066888332366,0.09999999999999998,0,266.2016115783423,44.56457463443199
106,10025,0.09062411240302026,-724.4092407226562,400,404,0.8544776119402985,10,1,0.00016775826323510047,-651.40869140625,1,0.06291508414782583,1.0659198927879334,0.09999999999999998,1,-133.3618719164632,25.9638838930297
135,20323,0.1036165710305795,-1134.238623046875,400,404,0.7562189054726368,10,1,8.779983556819142e-06,-976.1860595703125,1,0.09287910923361778,1.0152698564529419,0.09999999999999998,0,355.7620963251625,420.7843358577439
135,20323,0.09877253579907119,-1092.46279296875,400,404,0.736318407960199,10,1,0.00010621813453646212,-929.9109619140625,1,0.16132285367697477,0.9384397387504577,0.09999999999999998,1,235.82113051931447,430.59385097999746
160,30323,0.08476226482307539,-926.4967163085937,400,404,0.5833333333333334,10,1,0.00038501401224493747,-883.6691088867187,1,0.08801923399791121,0.7129286766052246,0.09999999999999998,0,271.32486870068067,320.95525275283643
160,30323,0.08300101690692827,-907.105859375,400,404,0.5982587064676617,10,1,0.0006822377016214887,-930.6369506835938,1,0.09051696676760912,0.6225996762514114,0.09999999999999998,1,338.4369131796716,329.4786589189682
192,40080,0.056162185697758105,-651.980810546875,400,404,0.6890547263681592,10,1,0.0017645240279358047,-771.0701245117187,1,0.09433106824755669,0.9910967540740967,0.09999999999999998,0,185.6116672627107,353.8233656551044
192,40080,0.04746458274603356,-652.387841796875,400,404,0.7611940298507462,10,1,0.005768527332535686,-927.2506176757812,1,0.0796451549604535,0.6216026771068573,0.09999999999999998,1,225.20863454639996,290.94603260097875
220,50302,0.03818302506115288,-449.8977416992187,400,404,0.6144278606965174,10,1,0.01736817732989948,-383.80786987304685,1,0.18723993599414826,0.5329773366451264,0.09999999999999998,0,250.95069944397005,265.177333992789
220,50302,0.03041423987597227,-338.75067749023435,400,404,0.7213930348258707,10,1,0.011565656668681186,-678.5305712890626,1,0.23362089022994043,0.8415760695934296,0.09999999999999998,1,273.4278401435548,469.8118559415155
245,60284,0.10138052962720394,-365.3605895996094,400,404,0.6567164179104478,10,1,0.0005950176599435509,-354.2693408203125,1,0.20970289465039968,0.8575737512111664,0.09999999999999998,0,326.640140112968,373.4055225524415
245,60284,0.017914342787116767,-315.0352478027344,400,404,0.5920398009950248,10,1,0.00020132145760726417,-395.83148681640625,1,0.08005529925227166,0.71272430062294,0.09999999999999998,1,222.9862171685647,264.9821897722209
271,70375,0.04609870185959153,-171.9024169921875,400,404,0.5497512437810945,10,1,0.00010971700614391011,-177.19613342285157,1,0.12116757629439234,0.6570439410209655,0.09999999999999998,0,348.1245387815943,346.5087867617085
271,70375,0.0230961398454383,-167.3945281982422,400,404,0.5758706467661692,10,1,0.00014887866162098363,-238.8130615234375,1,0.12305156544782221,0.5408765125274658,0.09999999999999998,1,447.84048149110345,413.2735195013297
296,80203,0.02122477016382618,-114.27487640380859,400,404,0.5634328358208955,10,1,0.0001223632159326371,-139.2497637939453,1,0.08664827937260271,0.4391474676132202,0.09999999999999998,0,315.8369201395913,271.7011085210496
296,80203,0.021200216466968413,-112.11829681396485,400,404,0.5534825870646766,10,1,0.00013574043598964635,-107.30677917480469,1,0.08430361217819154,0.6997385036945343,0.09999999999999998,1,496.0740080201665,295.0113242249734
321,90203,0.019059686432592572,-48.9467269897461,400,404,0.5907960199004975,10,1,0.000251514538944555,-59.76153198242187,1,0.08842245888896287,0.6123749911785126,0.09999999999999998,0,368.0496713703209,421.81363815371594
321,90203,0.0341351306065917,-13.424020433425904,400,404,0.5696517412935324,10,1,3.9194701900683095e-05,-82.46760925292969,1,0.0872633349802345,0.5431279504299164,0.09999999999999998,1,430.40910226950257,502.4313915242872
346,100203,0.019934291252866387,-18.00023658275604,400,404,0.5970149253731343,10,1,0.00024081739452308653,-49.18246322631836,1,0.07146213970147074,0.5239511740207672,0.09999999999999998,0,325.4994069226185,423.2806084777272
346,100203,0.01572832993697375,-21.145695304870607,400,404,0.5920398009950248,10,1,0.00024095668158030214,-42.144187698364256,1,0.06403592869639396,0.3985089606046677,0.09999999999999998,1,434.018255322602,429.061574873347
371,110203,0.012331496190745384,20.039282608032227,400,404,0.5559701492537313,10,1,0.00039822624135922525,-40.30350303649902,1,0.06273693211376667,0.4726237630844116,0.09999999999999998,0,577.2541005897438,474.42908991685096
371,110203,0.011845736399118323,19.276670837402342,400,404,0.5572139303482587,10,1,0.0004266002600172669,-50.91158020019531,1,0.06185035333037377,0.4667701780796051,0.09999999999999998,1,446.33919782576044,468.6655818307419
396,120017,0.012422253895783797,47.19744338989258,400,404,0.5771144278606966,10,1,3.9936467948249796e-05,-16.010931091308592,1,0.06111633013468236,0.6780358934402466,0.09999999999999998,0,470.14924630544306,493.1796979601518
396,120017,0.008848030820809072,39.76275010108948,400,404,0.5572139303482587,10,1,2.3560004115006314e-05,-8.014332971572877,1,0.06197710632812232,0.5956175816059113,0.09999999999999998,1,480.06691076488437,496.46980596749137
421,130017,0.009723936027148739,34.139586448669434,400,404,0.5223880597014925,10,1,0.00010698797718987407,-15.730799617767333,1,0.06542418600060046,0.5056193256378174,0.09999999999999998,0,461.21040478170084,498.138205876967
421,130017,0.006723779941967223,36.042560768127444,400,404,0.5335820895522388,10,1,6.99660754253273e-05,-2.409720846414566,1,0.052220007926225664,0.434542293548584,0.09999999999999998,1,422.903329616226,511.61999676778316
450,140150,0.02364905230642762,-19.87352285385132,271,274,0.5321100917431193,10,1,0.0002694370433619042,-0.23941394805908203,1,0.12437559697777033,0.5492603611946106,0.09999999999999998,0,497.5521570490534,403.5798496613457
450,140150,0.039011132865562105,-44.738440895080565,204,208,0.587378640776699,10,1,0.00015746082270197802,-29.273645095825195,1,0.11583305830135941,0.5015281569957734,0.09999999999999998,1,578.0645996019191,414.5790662221004
480,150042,0.005229627719381824,1.8364132642745972,349,352,0.6676176890156919,10,1,0.0003702987340261643,0.5955242228507995,1,0.14299168018624187,0.3590797436237335,0.09999999999999998,0,591.8505764914934,747.358010840459
480,150042,0.025815877280547284,-46.833198165893556,214,218,0.5625,10,1,8.913855950083871e-05,-36.92019660949707,1,0.08604772446677089,0.4290269982814789,0.09999999999999998,1,405.4278843240951,413.667291506075
515,160183,0.008364056139544118,-100.23518981933594,258,262,0.5596153846153846,10,1,1.4961634638986365e-05,-29.42426109313965,1,0.08575746570248156,0.4419931721687317,0.09999999999999998,0,777.263582160793,781.1446877256501
515,160183,0.008662973661557771,-86.69820709228516,265,268,0.5816135084427767,10,1,1.4818156695849405e-05,-58.196825408935545,1,0.07134222047869115,0.4599637007713318,0.09999999999999998,1,417.1661582484944,805.8801691753755
558,170110,0.030040185968391597,-205.1970642089844,213,216,0.5477855477855478,10,1,0.00012877511493570638,-98.78077697753906,1,0.12732467021793126,0.437723588347435,0.09999999999999998,0,798.0589959941803,795.1853845428326
558,170110,0.017884180159308018,-234.5786102294922,219,222,0.5487528344671202,10,1,0.00017284372263475233,-94.53676513671876,1,0.10053289481438696,0.4926095819473267,0.09999999999999998,1,819.37169697179,814.1815788574456
610,180051,0.04843765813857317,-426.3063232421875,182,186,0.532608695652174,10,1,0.00012142436488829844,-204.70154968261718,1,0.10360771663486958,0.4995582789182663,0.09999999999999998,0,800.2358670558575,794.0444173152797
610,180051,0.016789802367566154,-388.9439270019531,186,190,0.550531914893617,10,1,8.750562078603252e-05,-228.94008056640624,1,0.08911238881759345,0.41038851499557494,0.09999999999999998,1,820.0325048331524,821.7739147970265
